Time (μs),State,Force (N),Position (m),Velocity (m/s),Angular Position (radian),Angular Velocity (radian/s),Event
173037198,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173049193,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173061116,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173072972,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173084890,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173096840,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173108780,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173120602,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173132560,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173144502,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173156237,0,-2.8791,0.0086,0.0000,0.0183,0.0000,
173168147,0,-2.4801,0.0086,0.0000,0.0157,0.0000,
173180082,0,5.3829,0.0086,0.0000,0.0157,-0.2618,
173192003,0,-2.0811,0.0086,0.0000,0.0131,0.0000,
173203969,0,6.1802,0.0086,0.0000,0.0105,-0.2618,
173215909,0,6.1810,0.0086,0.0000,0.0105,-0.2618,
173227896,0,-1.2830,0.0086,0.0000,0.0079,0.0000,
173239848,0,6.5800,0.0086,0.0000,0.0079,-0.2618,
173251777,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173263594,0,6.9783,0.0086,0.0000,0.0052,-0.2618,
173275481,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173287234,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173299162,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173311073,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173322892,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173334843,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173346690,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173358628,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173370514,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173382464,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173394226,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173406176,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173417947,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173429846,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173441686,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173453605,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173465512,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173477349,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173489181,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173501140,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173512944,0,-0.8840,0.0086,0.0000,0.0052,0.0000,
173524877,0,-0.4849,0.0086,0.0000,0.0026,0.0000,
173536678,0,7.3781,0.0086,0.0000,0.0026,-0.2618,
173548544,0,-0.4849,0.0086,0.0000,0.0026,0.0000,
